$FLYS,1
$VAR,FIRMWARE_VER,v2023.09.22
$VAR,DEVICE_ID,004300364b34500b20393636
$VAR,SESSION_ID,9bab3c02b932c3477e1f0e7b
$COL,BARO,time,pressure,temperature
$UNIT,BARO,s,Pa,deg C
$COL,HUM,time,humidity,temperature
$UNIT,HUM,s,percent,deg C
$COL,MAG,time,x,y,z,temperature
$UNIT,MAG,s,gauss,gauss,gauss,deg C
$COL,IMU,time,wx,wy,wz,ax,ay,az,temperature
$UNIT,IMU,s,deg/s,deg/s,deg/s,g,g,g,deg C
$COL,TIME,time,tow,week
$UNIT,TIME,s,s,
$COL,VBAT,time,voltage
$UNIT,VBAT,s,volt
$DATA
$BARO,105274.145,96245.61,18.94
$MAG,105274.148,-0.049,0.606,-0.279,15.8
$IMU,105274.162,-3.540,0.305,-58.288,-0.03759,-0.06054,0.89355,18.10
$BARO,105274.186,96236.74,18.94
$HUM,105274.209,48.6,17.7
$BARO,105274.227,96240.03,18.94
$IMU,105274.238,15.502,4.699,-52.368,-0.18652,0.16992,0.98925,18.10
$MAG,105274.248,-0.078,0.594,-0.286,15.9
$BARO,105274.268,96251.02,18.94
$HUM,105274.290,48.6,17.8
$BARO,105274.308,96247.92,18.94
$IMU,105274.313,-2.746,-22.949,-32.409,0.15625,0.01464,0.97021,18.10
$MAG,105274.348,-0.091,0.606,-0.274,15.9
$BARO,105274.349,96241.56,18.94
$HUM,105274.372,48.6,17.8
$IMU,105274.389,-6.103,-3.601,-27.709,0.12695,0.08154,0.91552,18.10
$BARO,105274.390,96237.49,18.94
$BARO,105274.431,96242.71,18.94
$MAG,105274.448,-0.105,0.607,-0.279,15.8
$HUM,105274.453,48.6,17.8
$IMU,105274.464,-8.666,17.211,-26.916,-0.29687,0.19287,0.93652,18.14
$BARO,105274.471,96238.64,18.95
$BARO,105274.512,96252.92,18.94
$VBAT,105274.513,3.913
$HUM,105274.534,48.6,17.8
$IMU,105274.540,-11.901,-4.577,-25.939,-0.23339,0.09619,0.96484,18.16
$MAG,105274.548,-0.111,0.604,-0.274,15.7
$BARO,105274.553,96241.15,18.94
$BARO,105274.594,96249.85,18.94
$HUM,105274.615,48.7,17.8
$IMU,105274.616,-0.549,-1.037,-23.315,-0.13623,0.03662,1.08251,18.16
$BARO,105274.634,96244.05,18.95
$MAG,105274.648,-0.117,0.607,-0.279,15.9
$BARO,105274.675,96247.71,18.95
$IMU,105274.691,-0.610,23.742,-8.361,-0.17626,-0.02392,1.13720,18.15
$HUM,105274.696,48.4,17.8
$BARO,105274.716,96241.71,18.95
$MAG,105274.748,-0.076,0.607,-0.277,15.8
$BARO,105274.757,96237.69,18.95
$IMU,105274.767,-1.708,41.198,12.390,-0.47363,0.04980,1.15185,18.11
$HUM,105274.777,48.5,17.8
$BARO,105274.797,96239.59,18.95
$BARO,105274.838,96251.73,18.96
$IMU,105274.842,3.356,16.235,27.099,-0.27783,-0.29736,0.97900,18.17
$MAG,105274.848,-0.060,0.600,-0.288,15.8
$HUM,105274.858,48.8,17.8
$BARO,105274.879,96246.32,18.96
$IMU,105274.918,34.545,4.028,39.062,-0.16650,0.06738,0.94628,18.17
$BARO,105274.920,96249.00,18.96
$HUM,105274.939,48.5,17.7
$MAG,105274.948,-0.051,0.564,-0.306,15.8
$BARO,105274.960,96242.25,18.96
$IMU,105274.993,31.860,4.394,36.621,-0.31005,0.27929,0.94384,18.15
$BARO,105275.001,96247.85,18.96
$HUM,105275.020,48.6,17.7
$BARO,105275.042,96248.63,18.96
$MAG,105275.048,-0.049,0.550,-0.309,15.9
$IMU,105275.069,13.061,-7.568,8.972,-0.17187,0.25781,0.94238,18.16
$BARO,105275.083,96236.47,18.96
$HUM,105275.102,48.6,17.8
$BARO,105275.123,96249.00,18.97
$IMU,105275.144,-0.122,-5.432,-18.615,-0.07519,0.14648,0.93847,18.16
$MAG,105275.148,-0.058,0.556,-0.304,15.8
$BARO,105275.164,96240.32,18.96
$HUM,105275.183,48.6,17.8
$BARO,105275.205,96248.80,18.97
$IMU,105275.220,-5.310,-1.525,-19.470,-0.12353,0.04492,0.93896,18.14
$BARO,105275.246,96247.27,18.97
$MAG,105275.248,-0.067,0.552,-0.304,15.8
$HUM,105275.264,48.4,17.8
$BARO,105275.286,96248.24,18.97
$IMU,105275.295,1.831,-4.333,-19.775,-0.22509,0.06787,0.95556,18.15
$BARO,105275.327,96239.34,18.97
$HUM,105275.345,48.5,17.8
$MAG,105275.348,-0.085,0.553,-0.309,15.8
$BARO,105275.368,96250.14,18.97
$IMU,105275.371,8.483,-14.099,-21.667,-0.20507,0.12207,0.97167,18.16
$BARO,105275.409,96255.36,18.97
$HUM,105275.426,48.5,17.8
$IMU,105275.446,9.460,-16.845,-18.859,-0.18310,0.15332,0.98632,18.15
$MAG,105275.448,-0.102,0.541,-0.318,15.8
$BARO,105275.449,96246.07,18.98
$BARO,105275.490,96240.47,18.98
$HUM,105275.507,48.5,17.8
$IMU,105275.522,7.629,-13.549,-18.981,-0.26513,0.22021,1.07666,18.15
$BARO,105275.531,96243.59,18.98
$VBAT,105275.536,3.916
$MAG,105275.548,-0.126,0.549,-0.306,15.9
$BARO,105275.572,96247.22,18.98
$HUM,105275.588,48.4,17.8
$IMU,105275.597,-3.356,-25.207,-17.578,-0.04052,0.08593,0.99169,18.15
$BARO,105275.612,96245.10,18.98
$MAG,105275.648,-0.148,0.537,-0.310,15.9
$BARO,105275.653,96248.36,18.98
$HUM,105275.669,48.4,17.8
$IMU,105275.673,-4.699,-11.474,-17.150,-0.12060,0.23046,0.95458,18.18
$BARO,105275.694,96237.18,18.98
$BARO,105275.735,96242.78,18.98
$MAG,105275.748,-0.153,0.570,-0.300,15.8
$IMU,105275.748,-29.724,0.244,-18.676,-0.18408,0.17578,0.97656,18.18
$HUM,105275.750,48.5,17.8
$BARO,105275.775,96250.12,18.98
$BARO,105275.816,96249.73,18.98
$IMU,105275.824,-37.780,-23.681,-1.831,-0.04101,-0.15527,0.93896,18.19
$HUM,105275.831,48.5,17.8
$MAG,105275.848,-0.175,0.583,-0.288,15.8
$BARO,105275.857,96247.58,18.99
$BARO,105275.898,96252.21,18.99
$IMU,105275.899,5.920,-24.475,5.615,-0.02636,0.09960,1.05859,18.18
$HUM,105275.913,48.4,17.8
$BARO,105275.938,96246.61,18.99
$MAG,105275.948,-0.184,0.586,-0.295,15.8
$IMU,105275.975,4.821,-11.291,14.038,-0.06835,0.29199,1.07714,18.20
$BARO,105275.979,96244.49,18.99
$HUM,105275.994,48.5,17.8
$BARO,105276.020,96245.27,18.99
$MAG,105276.048,-0.163,0.631,-0.270,15.8
$IMU,105276.051,-45.043,-4.150,40.649,-0.00195,0.12744,1.00048,18.22
$BARO,105276.061,96249.70,18.99
$HUM,105276.075,48.4,17.8
$BARO,105276.101,96239.08,18.99
$IMU,105276.126,-68.725,12.390,53.039,-0.15087,-0.04443,0.98876,18.21
$BARO,105276.142,96241.56,19.00
$MAG,105276.148,-0.132,0.688,-0.229,15.8
$HUM,105276.156,48.5,17.8
$BARO,105276.183,96248.14,18.99
$IMU,105276.202,-70.190,13.244,61.828,-0.27490,-0.17480,0.99072,18.22
$BARO,105276.224,96248.34,18.99
$HUM,105276.237,48.5,17.8
$MAG,105276.248,-0.088,0.744,-0.205,15.8
$BARO,105276.264,96244.66,18.99
$IMU,105276.277,-66.772,0.854,69.641,-0.19775,-0.29980,0.99609,18.19
$BARO,105276.305,96245.41,19.00
$HUM,105276.318,48.6,17.9
$BARO,105276.346,96246.00,19.00
$MAG,105276.349,-0.036,0.772,-0.166,15.8
$IMU,105276.353,-57.800,-1.342,75.500,-0.19873,-0.40380,0.97753,18.17
$BARO,105276.387,96244.83,19.00
$HUM,105276.399,48.6,17.8
$BARO,105276.427,96246.39,19.00
$IMU,105276.428,-39.428,-12.817,67.382,-0.27587,-0.51855,0.97607,18.17
$MAG,105276.449,-0.001,0.778,-0.145,15.8
$BARO,105276.468,96249.46,19.01
$HUM,105276.480,48.5,17.8
$IMU,105276.504,-27.526,-29.541,53.161,-0.08544,-0.60937,0.86035,18.22
$BARO,105276.509,96245.02,19.01
$VBAT,105276.536,3.911
$BARO,105276.549,96245.39,19.01
$MAG,105276.549,0.016,0.784,-0.141,15.9
$HUM,105276.561,48.4,17.8
$IMU,105276.579,-12.878,-16.357,38.696,-0.01611,-0.50927,0.84960,18.23
$BARO,105276.590,96244.05,19.01
$BARO,105276.631,96237.47,19.01
$HUM,105276.642,48.6,17.8
$MAG,105276.649,0.046,0.780,-0.130,15.7
$IMU,105276.655,-5.126,-2.075,37.841,-0.14892,-0.47216,0.83593,18.22
$BARO,105276.672,96239.98,19.01
$BARO,105276.712,96247.12,19.01
$HUM,105276.724,48.4,17.9
